Corre;Año; Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de Cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (Peso de cada cabeza);Carne y Hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio;;;
230;2023;1;1;12;7;3;1;36;1,710;17;0.48;10;1;11;2;2;0;0;;;
231;2023;1;1;12;8;1;1;19;13,395;134;7.05;67;6;73;17;11;7;1;;;
232;2023;1;1;12;8;2;1;4;660;7;1.65;4;2;6;1;0;0;0;;;
233;2023;1;1;12;9;1;2;8;4,800;48;6.00;24;2;26;6;3;2;0;;;
234;2023;1;1;12;9;1;4;8;2,280;23;2.85;12;1;13;3;2;1;0;;;
235;2023;1;1;12;9;1;5;6;3,414;34;5.69;17;2;19;5;3;2;0;;;
236;2023;1;1;12;9;1;7;6;2,190;22;3.65;11;1;13;3;1;1;0;;;
237;2023;1;1;12;9;2;1;12;1,980;20;1.65;11;5;17;2;0;1;1;;;
238;2023;1;1;12;9;2;2;14;2,310;23;1.65;13;6;20;2;0;1;1;;;
239;2023;1;1;12;9;3;1;8;380;4;0.48;2;0;3;0;0;0;0;;;
240;2023;1;1;12;9;3;2;4;190;2;0.48;1;0;1;0;0;0;0;;;
241;2023;1;1;12;10;1;1;15;10,575;106;7.05;53;5;57;13;8;5;1;;;
242;2023;1;1;12;10;1;2;1;600;6;6.00;3;0;3;1;0;0;0;;;
243;2023;1;1;12;10;1;3;10;7,475;75;7.48;37;3;40;10;6;4;1;;;
244;2023;1;1;12;10;1;5;10;5,690;57;5.69;28;3;31;8;5;3;1;;;
245;2023;1;1;12;10;1;6;13;6,403;64;4.93;32;3;35;9;5;3;1;;;
246;2023;1;1;12;10;2;1;10;1,650;17;1.65;10;4;14;1;0;0;1;;;
247;2023;1;1;12;10;2;2;10;1,650;17;1.65;10;4;14;1;0;0;1;;;
248;2023;1;1;12;10;3;1;3;143;1;0.48;1;0;1;0;0;0;0;;;
249;2023;1;1;12;10;3;2;4;190;2;0.48;1;0;1;0;0;0;0;;;
250;2023;1;1;12;11;1;5;1;569;6;5.69;3;0;3;1;0;0;0;;;
